sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,coverage_constraint_satisfied
1723.0,0.718514219384794,0.7594405594405594,0.8030592734225621,0.7812499164315607,0.7086477074869414,0.7778675282714055,0.2706127401112197,0.22213247172859452,1.2182493536643273,0.5775444264943457,0.42245557350565427,0.575,0.325,1238.0,715.0,523.0,True
1723.0,0.7179338363319792,0.7717717717717718,0.7845884413309983,0.778180106551385,0.7086477074869414,0.7776879547291835,0.27043316656899774,0.2223120452708165,1.2164575528940007,0.5383993532740501,0.46160064672594986,0.6,0.355,1237.0,666.0,571.0,True
1723.0,0.7127103888566454,0.7673048600883653,0.7905282331511839,0.7789165466197746,0.7086477074869414,0.7776872964169381,0.27043250825675236,0.22231270358306188,1.2164509895212159,0.5529315960912052,0.44706840390879476,0.595,0.34,1228.0,679.0,549.0,True
1723.0,0.730702263493906,0.7742424242424243,0.7813021702838063,0.7777722972631154,0.7086477074869414,0.7776012708498808,0.2703464826896951,0.22239872915011916,1.2155936489511645,0.5242255758538522,0.47577442414614773,0.605,0.375,1259.0,660.0,599.0,True
1723.0,0.7150319210679048,0.7717717717717718,0.784452296819788,0.7781120342957799,0.7086477074869414,0.7775974025974026,0.27034261443721685,0.22240259740259738,1.2155551130899678,0.5405844155844156,0.4594155844155844,0.6,0.35,1232.0,666.0,566.0,True
1723.0,0.7330237957051654,0.793046357615894,0.7632776934749621,0.778162025545428,0.7086477074869414,0.777513855898654,0.2702590677384682,0.22248614410134604,1.2147231407604457,0.4782264449722882,0.5217735550277118,0.63,0.405,1263.0,604.0,659.0,True
1723.0,0.7173534532791642,0.7602836879432624,0.800376647834275,0.7803301678887686,0.7086477074869414,0.7775080906148867,0.2702533024547009,0.22249190938511332,1.2146657521236737,0.5703883495145631,0.42961165048543687,0.58,0.33,1236.0,705.0,531.0,True
1723.0,0.742890307603018,0.7922705314009661,0.7632776934749621,0.7777741124379641,0.7086477074869414,0.77734375,0.27008896183981423,0.22265625,1.2130311268595166,0.48515625,0.51484375,0.625,0.405,1280.0,621.0,659.0,True
1723.0,0.73476494486361,0.7813953488372093,0.7729468599033816,0.7771711043702955,0.7086477074869414,0.7772511848341233,0.2699963966739375,0.22274881516587675,1.212111482940443,0.509478672985782,0.490521327014218,0.615,0.385,1266.0,645.0,621.0,True
1723.0,0.7190946024376088,0.7742424242424243,0.7806563039723662,0.7774493641073952,0.7086477074869414,0.7772397094430993,0.2699849212829135,0.22276029055690072,1.211997527063514,0.5326876513317191,0.46731234866828086,0.605,0.36,1239.0,660.0,579.0,True
1723.0,0.7138711549622752,0.8014311270125224,0.7570789865871833,0.7792550567998529,0.7086477074869414,0.7772357723577236,0.2699809841975378,0.22276422764227644,1.2119584327115747,0.45447154471544715,0.5455284552845528,0.65,0.41,1230.0,559.0,671.0,True
1723.0,0.726639582124202,0.7742424242424243,0.7804054054054054,0.7773239148239148,0.7086477074869414,0.7771565495207667,0.26990176136058097,0.22284345047923326,1.2111720617327861,0.5271565495207667,0.4728434504792332,0.605,0.37,1252.0,660.0,592.0,True
1723.0,0.7289611143354614,0.8,0.7570789865871833,0.7785394932935916,0.7086477074869414,0.7770700636942676,0.2698152755340818,0.22292993630573243,1.2103142359671673,0.46576433121019106,0.5342356687898089,0.64,0.41,1256.0,585.0,671.0,True
1723.0,0.7365060940220546,0.7742424242424243,0.7799671592775042,0.7771047917599643,0.7086477074869414,0.77698975571316,0.2697349675529742,0.22301024428684002,1.2095182820661636,0.5200945626477541,0.4799054373522459,0.605,0.38,1269.0,660.0,609.0,True
1723.0,0.7231572838073128,0.7594405594405594,0.800376647834275,0.7799086036374172,0.7086477074869414,0.7768860353130016,0.26963124715281583,0.2231139646869984,1.2084911293252105,0.5738362760834671,0.4261637239165329,0.575,0.33,1246.0,715.0,531.0,True
